"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4181","Verify the rate of the first product","","Sat Oct 26 12:38:56 ACDT 2024","passed","Sat Oct 26 12:39:00 ACDT 2024","","Get all products from the fakestore api","Verify the rate of the first product",""
"","3297","Verify the GET api for the products","","Sat Oct 26 12:38:56 ACDT 2024","passed","Sat Oct 26 12:38:59 ACDT 2024","","Get all products from the fakestore api","Verify the GET api for the products",""
